time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,59.532,1.700,0.016,0.0259,0.0004,0.000,0.000,-79.669
0.04,58.927,3.400,0.048,0.0499,0.0015,0.000,0.001,-79.342
0.06,58.915,5.100,0.103,0.0715,0.0040,0.000,0.003,-79.014
0.08,59.077,6.800,0.174,0.0919,0.0080,0.000,0.007,-78.686
0.10,59.270,8.500,0.257,0.1118,0.0134,0.000,0.013,-78.357
0.12,59.455,10.200,0.351,0.1317,0.0203,0.000,0.021,-78.027
0.14,59.634,11.083,0.443,0.1396,0.0285,0.000,0.032,-77.696
0.16,59.810,11.475,0.529,0.1412,0.0374,0.000,0.045,-77.364
0.18,59.982,11.759,0.608,0.1428,0.0470,0.000,0.062,-77.031
0.20,60.151,11.941,0.680,0.1443,0.0569,0.000,0.081,-76.698
0.22,60.317,12.031,0.744,0.1457,0.0670,0.000,0.104,-76.363
0.24,60.480,12.038,0.802,0.1470,0.0771,0.000,0.130,-76.028
0.26,60.639,11.969,0.852,0.1481,0.0870,0.000,0.160,-75.693
0.28,60.794,11.835,0.894,0.1491,0.0967,0.000,0.194,-75.357
0.30,60.945,11.644,0.929,0.1499,0.1061,0.000,0.232,-75.020
0.32,61.093,11.405,0.958,0.1507,0.1150,0.000,0.274,-74.683
0.34,61.237,11.126,0.981,0.1513,0.1235,0.000,0.320,-74.346
0.36,61.376,10.813,0.997,0.1518,0.1314,0.000,0.371,-74.009
0.38,61.512,10.476,1.008,0.1522,0.1388,0.000,0.426,-73.671
0.40,61.644,10.120,1.015,0.1525,0.1456,0.000,0.486,-73.334
0.42,61.772,9.751,1.017,0.1528,0.1519,0.000,0.550,-72.997
0.44,61.897,9.375,1.014,0.1529,0.1575,0.000,0.620,-72.660
0.46,62.018,8.996,1.009,0.1530,0.1627,0.000,0.695,-72.323
0.48,62.136,8.620,1.000,0.1531,0.1672,0.000,0.774,-71.987
0.50,62.251,8.250,0.989,0.1530,0.1712,0.000,0.859,-71.651
0.52,62.364,7.889,0.975,0.1530,0.1746,0.000,0.949,-71.316
0.54,62.475,7.540,0.959,0.1528,0.1775,0.000,1.043,-70.982
0.56,62.583,7.207,0.942,0.1527,0.1798,0.000,1.143,-70.649
0.58,62.690,6.890,0.923,0.1525,0.1817,0.000,1.249,-70.316
0.60,62.796,6.592,0.904,0.1523,0.1831,0.000,1.359,-69.985
0.62,62.900,6.315,0.883,0.1520,0.1840,0.000,1.474,-69.655
0.64,63.004,6.059,0.863,0.1518,0.1845,0.000,1.595,-69.326
0.66,63.108,5.824,0.841,0.1515,0.1846,0.000,1.721,-68.998
0.68,63.211,5.613,0.820,0.1512,0.1844,0.000,1.852,-68.672
0.70,63.315,5.425,0.799,0.1509,0.1838,0.000,1.987,-68.347
0.72,63.419,5.259,0.779,0.1507,0.1828,0.000,2.128,-68.024
0.74,63.523,5.116,0.758,0.1504,0.1816,0.000,2.274,-67.703
0.76,63.629,4.995,0.739,0.1501,0.1802,0.000,2.425,-67.383
0.78,63.735,4.896,0.720,0.1498,0.1786,0.000,2.581,-67.064
0.80,63.843,4.817,0.703,0.1496,0.1767,0.000,2.742,-66.748
0.82,63.952,4.758,0.686,0.1493,0.1748,0.000,2.908,-66.433
0.84,64.062,4.718,0.671,0.1491,0.1727,0.000,3.078,-66.121
0.86,64.173,4.694,0.657,0.1489,0.1706,0.000,3.253,-65.810
0.88,64.287,4.687,0.644,0.1487,0.1684,0.000,3.433,-65.501
0.90,64.401,4.694,0.633,0.1485,0.1663,0.000,3.617,-65.194
0.92,64.517,4.714,0.623,0.1483,0.1641,0.000,3.806,-64.889
0.94,64.634,4.746,0.614,0.1482,0.1620,0.000,4.000,-64.587
0.96,64.753,4.787,0.607,0.1481,0.1599,0.000,4.198,-64.286
0.98,64.873,4.836,0.601,0.1480,0.1580,0.000,4.401,-63.988
1.00,64.995,4.892,0.596,0.1479,0.1561,0.000,4.607,-63.691
1.02,65.117,4.954,0.593,0.1479,0.1544,0.000,4.819,-63.397
1.04,65.240,5.019,0.591,0.1479,0.1528,0.000,5.034,-63.106
1.06,65.365,5.086,0.590,0.1479,0.1514,0.000,5.254,-62.816
1.08,65.490,5.154,0.589,0.1479,0.1500,0.000,5.478,-62.529
1.10,65.616,5.222,0.590,0.1479,0.1489,0.000,5.706,-62.245
1.12,65.742,5.289,0.592,0.1479,0.1479,0.000,5.938,-61.962
1.14,65.869,5.353,0.594,0.1480,0.1470,0.000,6.174,-61.683
1.16,65.996,5.414,0.597,0.1480,0.1463,0.000,6.414,-61.405
1.18,66.124,5.472,0.600,0.1481,0.1458,0.000,6.659,-61.131
1.20,66.252,5.524,0.604,0.1482,0.1453,0.000,6.907,-60.859
1.22,66.380,5.572,0.608,0.1483,0.1450,0.000,7.159,-60.589
1.24,66.507,5.614,0.612,0.1484,0.1449,0.000,7.415,-60.323
1.26,66.635,5.650,0.616,0.1485,0.1448,0.000,7.675,-60.059
1.28,66.763,5.681,0.620,0.1486,0.1449,0.000,7.938,-59.797
1.30,66.890,5.704,0.625,0.1487,0.1450,0.000,8.206,-59.539
1.32,67.017,5.722,0.629,0.1487,0.1453,0.000,8.477,-59.284
1.34,67.144,5.734,0.633,0.1488,0.1456,0.000,8.752,-59.031
1.36,67.270,5.740,0.637,0.1489,0.1460,0.000,9.030,-58.781
1.38,67.396,5.740,0.640,0.1490,0.1464,0.000,9.312,-58.535
1.40,67.521,5.734,0.643,0.1491,0.1469,0.000,9.598,-58.292
1.42,67.646,5.723,0.646,0.1492,0.1474,0.000,9.887,-58.051
1.44,67.771,5.707,0.649,0.1493,0.1479,0.000,10.180,-57.814
1.46,67.895,5.687,0.651,0.1494,0.1485,0.000,10.476,-57.581
1.48,68.019,5.663,0.653,0.1494,0.1490,0.000,10.776,-57.350
1.50,68.142,5.635,0.654,0.1495,0.1496,0.000,11.079,-57.123
1.52,68.264,5.604,0.656,0.1495,0.1501,0.000,11.386,-56.899
