time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,59.532,1.700,0.016,0.0259,0.0004,0.000,0.000,-79.669
0.04,58.927,3.400,0.048,0.0499,0.0015,0.000,0.001,-79.342
0.06,58.915,5.100,0.103,0.0715,0.0040,0.000,0.003,-79.014
0.08,59.077,6.800,0.174,0.0919,0.0080,0.000,0.007,-78.686
0.10,59.270,8.500,0.257,0.1118,0.0134,0.000,0.013,-78.357
0.12,59.455,10.200,0.351,0.1317,0.0203,0.000,0.021,-78.027
0.14,59.623,11.900,0.451,0.1519,0.0287,0.000,0.032,-77.696
0.16,59.767,13.600,0.555,0.1728,0.0383,0.000,0.046,-77.364
0.18,59.888,15.300,0.659,0.1949,0.0490,0.000,0.064,-77.032
0.20,59.988,17.000,0.755,0.2190,0.0605,0.000,0.085,-76.699
0.22,60.072,18.700,0.840,0.2451,0.0723,0.000,0.110,-76.367
0.24,60.144,19.641,0.916,0.2604,0.0843,0.000,0.139,-76.034
0.26,60.209,19.652,0.983,0.2618,0.0963,0.000,0.172,-75.701
0.28,60.268,19.575,1.041,0.2631,0.1081,0.000,0.210,-75.368
0.30,60.322,19.421,1.090,0.2643,0.1196,0.000,0.253,-75.036
0.32,60.371,19.201,1.131,0.2653,0.1307,0.000,0.300,-74.704
0.34,60.415,18.925,1.164,0.2661,0.1413,0.000,0.353,-74.372
0.36,60.454,18.603,1.190,0.2668,0.1513,0.000,0.410,-74.041
0.38,60.487,18.244,1.209,0.2674,0.1608,0.000,0.473,-73.710
0.40,60.515,17.855,1.223,0.2679,0.1697,0.000,0.541,-73.381
0.42,60.538,17.445,1.231,0.2682,0.1780,0.000,0.615,-73.052
0.44,60.556,17.021,1.234,0.2685,0.1858,0.000,0.694,-72.725
0.46,60.570,16.588,1.234,0.2687,0.1929,0.000,0.779,-72.399
0.48,60.578,16.152,1.231,0.2688,0.1995,0.000,0.869,-72.074
0.50,60.582,15.717,1.225,0.2689,0.2057,0.000,0.965,-71.751
0.52,60.582,15.288,1.218,0.2689,0.2115,0.000,1.067,-71.430
0.54,60.578,14.867,1.209,0.2689,0.2169,0.000,1.175,-71.111
0.56,60.571,14.455,1.199,0.2688,0.2219,0.000,1.288,-70.793
0.58,60.561,14.054,1.187,0.2687,0.2265,0.000,1.407,-70.478
0.60,60.548,13.666,1.174,0.2686,0.2307,0.000,1.531,-70.165
0.62,60.533,13.292,1.161,0.2685,0.2345,0.000,1.662,-69.854
0.64,60.515,12.934,1.147,0.2683,0.2379,0.000,1.797,-69.546
0.66,60.495,12.591,1.132,0.2681,0.2409,0.000,1.939,-69.241
0.68,60.474,12.267,1.116,0.2679,0.2435,0.000,2.086,-68.938
0.70,60.451,11.960,1.100,0.2677,0.2458,0.000,2.238,-68.638
0.72,60.427,11.672,1.084,0.2675,0.2476,0.000,2.396,-68.341
0.74,60.401,11.403,1.067,0.2672,0.2491,0.000,2.559,-68.048
0.76,60.375,11.153,1.050,0.2670,0.2503,0.000,2.728,-67.757
0.78,60.348,10.924,1.033,0.2667,0.2511,0.000,2.901,-67.470
0.80,60.321,10.715,1.016,0.2664,0.2516,0.000,3.080,-67.186
0.82,60.294,10.526,0.999,0.2661,0.2517,0.000,3.264,-66.905
0.84,60.267,10.358,0.981,0.2658,0.2515,0.000,3.453,-66.628
0.86,60.239,10.210,0.964,0.2655,0.2510,0.000,3.648,-66.355
0.88,60.213,10.082,0.947,0.2652,0.2501,0.000,3.847,-66.086
0.90,60.187,9.975,0.930,0.2649,0.2489,0.000,4.051,-65.820
0.92,60.162,9.887,0.914,0.2646,0.2475,0.000,4.259,-65.558
0.94,60.137,9.820,0.897,0.2643,0.2457,0.000,4.473,-65.301
0.96,60.114,9.772,0.881,0.2640,0.2436,0.000,4.691,-65.047
0.98,60.093,9.744,0.865,0.2637,0.2413,0.000,4.913,-64.798
1.00,60.073,9.735,0.849,0.2635,0.2388,0.000,5.141,-64.553
1.02,60.055,9.745,0.835,0.2632,0.2361,0.000,5.372,-64.312
1.04,60.039,9.772,0.820,0.2629,0.2332,0.000,5.608,-64.076
1.06,60.025,9.817,0.807,0.2626,0.2301,0.000,5.848,-63.844
1.08,60.013,9.879,0.794,0.2624,0.2268,0.000,6.092,-63.616
1.10,60.004,9.956,0.782,0.2622,0.2235,0.000,6.341,-63.393
1.12,59.997,10.048,0.771,0.2620,0.2201,0.000,6.593,-63.175
1.14,59.993,10.154,0.761,0.2618,0.2166,0.000,6.849,-62.961
1.16,59.991,10.272,0.752,0.2616,0.2130,0.000,7.109,-62.752
1.18,59.991,10.402,0.744,0.2614,0.2095,0.000,7.373,-62.547
1.20,59.994,10.542,0.737,0.2613,0.2060,0.000,7.640,-62.348
1.22,59.999,10.692,0.732,0.2612,0.2025,0.000,7.911,-62.153
1.24,60.007,10.848,0.727,0.2611,0.1991,0.000,8.185,-61.963
1.26,60.017,11.012,0.724,0.2610,0.1959,0.000,8.463,-61.778
1.28,60.029,11.180,0.722,0.2609,0.1928,0.000,8.744,-61.598
1.30,60.043,11.351,0.722,0.2609,0.1899,0.000,9.028,-61.422
1.32,60.059,11.525,0.724,0.2609,0.1873,0.000,9.315,-61.252
1.34,60.077,11.698,0.727,0.2609,0.1850,0.000,9.605,-61.086
1.36,60.096,11.868,0.731,0.2610,0.1829,0.000,9.899,-60.926
1.38,60.116,12.035,0.737,0.2611,0.1811,0.000,10.194,-60.770
1.40,60.138,12.196,0.743,0.2612,0.1796,0.000,10.493,-60.620
1.42,60.160,12.351,0.751,0.2613,0.1783,0.000,10.794,-60.474
1.44,60.184,12.497,0.759,0.2614,0.1773,0.000,11.098,-60.334
1.46,60.208,12.635,0.768,0.2615,0.1766,0.000,11.404,-60.198
1.48,60.232,12.762,0.777,0.2617,0.1760,0.000,11.713,-60.068
1.50,60.256,12.879,0.786,0.2619,0.1757,0.000,12.023,-59.943
1.52,60.281,12.985,0.796,0.2620,0.1756,0.000,12.336,-59.823
