time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,89.555,1.700,0.017,0.0271,0.0003,0.000,0.000,-79.502
0.04,88.886,3.400,0.049,0.0532,0.0014,0.000,0.001,-79.009
0.06,88.333,5.100,0.102,0.0780,0.0036,0.000,0.004,-78.518
0.08,88.237,6.800,0.180,0.1019,0.0075,0.000,0.007,-78.027
0.10,88.292,8.500,0.274,0.1257,0.0133,0.000,0.013,-77.537
0.12,88.395,10.200,0.380,0.1500,0.0209,0.000,0.022,-77.046
0.14,88.500,11.900,0.494,0.1754,0.0304,0.000,0.034,-76.554
0.16,88.591,13.600,0.608,0.2024,0.0415,0.000,0.049,-76.063
0.18,88.665,15.300,0.712,0.2316,0.0539,0.000,0.068,-75.570
0.20,88.725,17.000,0.806,0.2630,0.0671,0.000,0.090,-75.078
0.22,88.767,18.700,0.887,0.2963,0.0809,0.000,0.117,-74.585
0.24,88.791,20.400,0.956,0.3312,0.0950,0.000,0.147,-74.093
0.26,88.793,22.100,1.014,0.3675,0.1091,0.000,0.183,-73.601
0.28,88.774,23.800,1.059,0.4050,0.1230,0.000,0.222,-73.109
0.30,88.733,25.500,1.091,0.4434,0.1365,0.000,0.267,-72.618
0.32,88.672,27.200,1.112,0.4827,0.1494,0.000,0.317,-72.128
0.34,88.590,28.900,1.122,0.5225,0.1617,0.000,0.371,-71.638
0.36,88.487,30.600,1.123,0.5626,0.1733,0.000,0.431,-71.150
0.38,88.361,32.000,1.115,0.5978,0.1840,0.000,0.496,-70.663
0.40,88.213,32.000,1.099,0.6094,0.1939,0.000,0.566,-70.177
0.42,88.049,32.000,1.079,0.6206,0.2029,0.000,0.642,-69.694
0.44,87.872,32.000,1.055,0.6314,0.2111,0.000,0.723,-69.212
0.46,87.683,32.000,1.029,0.6418,0.2186,0.000,0.809,-68.732
0.48,87.484,32.000,1.001,0.6516,0.2254,0.000,0.901,-68.254
0.50,87.275,32.000,0.972,0.6608,0.2316,0.000,0.997,-67.778
0.52,87.058,32.000,0.943,0.6695,0.2370,0.000,1.100,-67.305
0.54,86.832,32.000,0.912,0.6775,0.2417,0.000,1.207,-66.834
0.56,86.600,32.000,0.881,0.6849,0.2458,0.000,1.320,-66.366
0.58,86.362,32.000,0.849,0.6917,0.2492,0.000,1.437,-65.900
0.60,86.118,32.000,0.818,0.6979,0.2520,0.000,1.560,-65.438
0.62,85.870,32.000,0.787,0.7034,0.2542,0.000,1.688,-64.977
0.64,85.619,32.000,0.756,0.7083,0.2558,0.000,1.822,-64.520
0.66,85.364,32.000,0.725,0.7126,0.2568,0.000,1.960,-64.066
0.68,85.106,32.000,0.695,0.7162,0.2572,0.000,2.103,-63.615
0.70,84.846,32.000,0.664,0.7192,0.2569,0.000,2.251,-63.167
0.72,84.585,32.000,0.634,0.7216,0.2561,0.000,2.403,-62.722
0.74,84.323,32.000,0.603,0.7234,0.2547,0.000,2.561,-62.281
0.76,84.061,32.000,0.573,0.7246,0.2526,0.000,2.723,-61.842
0.78,83.799,32.000,0.542,0.7251,0.2499,0.000,2.890,-61.407
0.80,83.539,32.000,0.512,0.7250,0.2465,0.000,3.062,-60.976
0.82,83.280,32.000,0.482,0.7243,0.2426,0.000,3.238,-60.548
0.84,83.023,32.000,0.451,0.7230,0.2380,0.000,3.419,-60.123
